instrument,kod ISIN,Pakiet,Pakiet_PLN,udzial_pct_portf,udzial_pct_obr,punkty bazowe,Symbol,Kapitalizacja (mln),Warto�� ksi�gowa (mln),Zysk na akcj� (ttm),Stopa dyw. (%)
08OCTAVA ,PLNFI0800016 ,9 974 000,8 627 510,3,"0,00 ",506,08N,37.01,69.31,0.035,
11BIT ,PL11BTS00015 ,2 007 000,625 180 500,202,"0,23 ",86,11B,710.18,78.83,14.2237,
4FUNMEDIA ,PL4FNMD00013 ,1 572 000,17 292 000,6,"0,00 ",125,4FM,44.49,38.48,2,5.4
ABCDATA ,PLABCDT00014 ,46 534 000,66 078 280,21,"0,03 ",112,ABC,177.88,257.57,0.0763,21.4
ABPL ,PLAB00000019 ,13 122 000,263 752 200,85,"0,00 ",92,ABE,323.75,764.3,3.5893,
ACAUTOGAZ ,PLACSA000014 ,7 781 000,381 269 000,123,"0,00 ",297,ACG,480.01,111.81,3.9837,5.1
ADIUVO ,PLADVIV00015 ,5 467 000,43 736 000,14,"0,00 ",211,ADV,94.27,30.94,,
AGORA ,PLAGORA00067 ,35 828 000,419 187 600,136,"0,00 ",229,AGO,540.34,975.01,0.1092,4.3
AGROTON ,CY0101062111 ,4 818 000,16 863 000,5,"0,00 ",247,AGT,74.54,342.18,2.0588,
AILLERON ,PLWNDMB00010 ,6 223 000,65 030 350,21,"0,02 ",373,ALL,127.26,86.73,0.4066,
AIRWAY ,PLAIRWY00017 ,23 305 000,15 614 350,5,"0,00 ",88,AWM,39.14,33.17,,
ALIOR ,PLALIOR00045 ,88 895 000,5 671 501 000,1834,"1,22 ",11,ALR,8198.79,6485.92,5.453,
ALTA ,PLTRNSU00013 ,6 251 000,16 877 700,5,"0,00 ",392,AAT,41.07,182.85,,
ALTUSTFI ,PLATTFI00018 ,23 745 000,69 097 950,22,"0,01 ",104,ALI,129.14,143.29,1.0778,51.2
ALUMETAL ,PLALMTL00023 ,10 371 000,468 769 200,152,"0,01 ",56,AML,700.45,528.71,6.1918,6.5
AMBRA ,PLAMBRA00013 ,9 800 000,146 020 000,47,"0,03 ",126,AMB,378.1,278.57,1.3796,4.6
AMICA ,PLAMICA00010 ,5 057 000,738 322 000,239,"0,02 ",51,AMC,1132.08,805.44,13.9048,2.1
AMREST ,ES0105375002 ,72 350 000,3 313 630 000,1072,"0,82 ",23,EAT,10121.45,1806.49,0.8404,
APATOR ,PLAPATR00018 ,20 547 000,534 222 000,173,"0,01 ",129,APT,860.78,474.1,2.1488,1.5
APLISENS ,PLAPLS000016 ,3 413 000,37 543 000,12,"0,00 ",343,APN,136,155.06,1.6418,2.9
APSENERGY ,PLAPSEN00011 ,4 515 000,10 881 150,4,"0,00 ",0,APE,71.87,41.03,0.1497,
ARCHICOM ,PLARHCM00016 ,6 506 000,82 626 200,27,"0,00 ",448,ARH,326.93,423.14,0.9007,11.3
ARCTIC ,PLARTPR00012 ,22 082 000,62 933 700,20,"0,19 ",81,ATC,197.47,576.64,0.1109,7
ARTERIA ,PLARTER00016 ,2 954 000,15 597 120,5,"0,00 ",605,ARR,22.37,47.3,,
ARTIFEX ,PLARTFX00011 ,5 452 000,29 440 800,10,"0,00 ",766,ART,64.01,48.24,,
ASBIS ,CY1000031710 ,35 056 000,103 415 200,33,"0,11 ",92,ASB,162.06,374.29,0.8194,6.4
ASMGROUP ,PLASMGR00014 ,10 724 000,35 389 200,11,"0,00 ",0,ASM,188.16,91.83,0.0218,
ASSECOBS ,PLABS0000018 ,17 889 000,558 136 800,180,"0,00 ",219,ABS,1045.99,298.53,1.8683,4.2
ASSECOPOL ,PLSOFTB00016 ,74 917 000,3 985 584 400,1289,"0,50 ",31,ACP,4369.97,5604.6,3.6438,5.7
ASSECOSEE ,PLASSEE00014 ,25 399 000,347 966 300,113,"0,00 ",174,ASE,710.95,763.43,1.2455,3.8
ASTARTA ,NL0000686509 ,7 661 000,233 660 500,76,"0,00 ",155,AST,752.5,1559.91,0.3915,
ATAL ,PLATAL000046 ,6 500 000,256 750 000,83,"0,18 ",107,1AT,1478.9,858.36,5.1974,9
ATENDE ,PLATMSI00016 ,24 386 000,96 324 700,31,"0,00 ",252,ATD,143.56,66.44,0.4647,5.6
ATLANTAPL ,PLATLPL00018 ,2 464 000,10 324 160,3,"0,00 ",0,ATP,25.53,73.72,1.5519,
ATLANTIS ,EE3100143090 ,9 770 000,5 002 240,2,"0,00 ",552,ATS,12.8,66.57,0.1113,
ATLASEST ,GB00B0WDBP88 ,7 199 000,12 022 330,4,"0,00 ",258,ATL,84.54,396.06,,
ATMGRUPA ,PLATM0000021 ,35 192 000,155 548 640,50,"0,00 ",67,ATG,372.61,245.12,0.3982,5
ATREM ,PLATREM00017 ,3 999 000,8 277 930,3,"0,00 ",144,ATR,19.2,42.43,,
